source,stype,target,ttype
us_7498414,patent,9780835,pmid1
us_7498414,patent,NA,pmid1
us_7498414,patent,NA,pmid1
us_7498414,patent,8026639,pmid1
us_7498414,patent,1656368,pmid1
us_7498414,patent,2004790,pmid1
us_7498414,patent,6804947,pmid1
us_7498414,patent,NA,pmid1
us_7498414,patent,11506500,pmid1
us_7498414,patent,9200616,pmid1
us_7498414,patent,2158038,pmid1
us_7498414,patent,1279431,pmid1
us_7498414,patent,9770121,pmid1
us_7498414,patent,NA,pmid1
us_7498414,patent,2898810,pmid1
us_7498414,patent,10360672,pmid1
us_7498414,patent,1458542,pmid1
us_7498414,patent,388229,pmid1
us_7498414,patent,2536936,pmid1
us_7498414,patent,10745620,pmid1
us_7498414,patent,2568865,pmid1
us_7498414,patent,1417831,pmid1
us_7498414,patent,1656371,pmid1
us_7498414,patent,6933469,pmid1
us_7498414,patent,8896407,pmid1
us_7498414,patent,NA,pmid1
us_7498414,patent,2047874,pmid1
us_7498414,patent,2660141,pmid1
us_7498414,patent,2466296,pmid1
us_7498414,patent,1698553,pmid1
