"PubSID","Code","Abbr","Name"
"84908282604","2736","MEDI","Pharmacology (medical)"
"84914095200","2730","MEDI","Oncology"
"84914095200","2735","MEDI","Pediatrics, Perinatology and Child Health"
"0032693874","2730","MEDI","Oncology"
"0033794143","2730","MEDI","Oncology"
"0035344039","2700","MEDI","Medicine (all)"
"0029937765","2720","MEDI","Hematology"
"0035138229","3004","PHAR","Pharmacology"
"0035469851","2720","MEDI","Hematology"
"0035043265","3004","PHAR","Pharmacology"
"0033522647","1312","BIOC","Molecular Biology"
"0033522647","2700","MEDI","Medicine (all)"
"0035555519","1306","BIOC","Cancer Research"
"0035555519","1307","BIOC","Cell Biology"
"0035555519","2403","IMMU","Immunology"
"0035555519","2716","MEDI","Genetics (clinical)"
"0035555519","2723","MEDI","Immunology and Allergy"
"0035555519","2730","MEDI","Oncology"
"0035555519","2747","MEDI","Transplantation"
"0036470439","2403","IMMU","Immunology"
"0036470439","2700","MEDI","Medicine (all)"
"0036470439","2723","MEDI","Immunology and Allergy"
"0029875268","2745","MEDI","Rheumatology"
"0029875268","2800","NEUR","Neuroscience (all)"
"0030897222","1306","BIOC","Cancer Research"
"0030897222","2730","MEDI","Oncology"
"33748636682","2720","MEDI","Hematology"
"0035412369","2720","MEDI","Hematology"
"0030964964","2720","MEDI","Hematology"
"33748568167","2720","MEDI","Hematology"
"0031905196","2730","MEDI","Oncology"
"0032005642","1306","BIOC","Cancer Research"
"0032005642","2720","MEDI","Hematology"
"0032005642","2730","MEDI","Oncology"
"0030812012","1306","BIOC","Cancer Research"
"0030812012","2730","MEDI","Oncology"
"0035885965","2720","MEDI","Hematology"
"0032589668","2730","MEDI","Oncology"
"0031757274","1306","BIOC","Cancer Research"
"0031757274","2730","MEDI","Oncology"
"0035075989","1306","BIOC","Cancer Research"
"0035075989","2720","MEDI","Hematology"
"0035075989","2730","MEDI","Oncology"
"0036941305","2720","MEDI","Hematology"
"0033949148","2720","MEDI","Hematology"
"0033949148","2747","MEDI","Transplantation"
"0033608388","2403","IMMU","Immunology"
"0033608388","2747","MEDI","Transplantation"
"0030877079","1306","BIOC","Cancer Research"
"0030877079","2720","MEDI","Hematology"
"0030877079","2730","MEDI","Oncology"
"0034655355","2403","IMMU","Immunology"
"0034655355","2747","MEDI","Transplantation"
"0034027095","2720","MEDI","Hematology"
"0034307366","1303","BIOC","Biochemistry"
"0034307366","1307","BIOC","Cell Biology"
"0034307366","2403","IMMU","Immunology"
"0034307366","2700","MEDI","Medicine (all)"
"0034307366","2720","MEDI","Hematology"
"0029869119","1201","ARTS","Arts and Humanities (miscellaneous)"
"0029869119","2700","MEDI","Medicine (all)"
"0029869119","2728","MEDI","Neurology (clinical)"
"0030453977","2700","MEDI","Medicine (all)"
"0030300084","1306","BIOC","Cancer Research"
"0030300084","2720","MEDI","Hematology"
"0030300084","2730","MEDI","Oncology"
"0033552391","2700","MEDI","Medicine (all)"
"0036139106","1306","BIOC","Cancer Research"
"0036139106","2730","MEDI","Oncology"
"0035091343","1307","BIOC","Cell Biology"
"0035091343","2700","MEDI","Medicine (all)"
"0032535279","2720","MEDI","Hematology"
"0033214207","2720","MEDI","Hematology"
"0034329352","2720","MEDI","Hematology"
"0035880228","2720","MEDI","Hematology"
"0035652154","3004","PHAR","Pharmacology"
"0034160345","2720","MEDI","Hematology"
"0034844737","1306","BIOC","Cancer Research"
"0034844737","2703","MEDI","Anesthesiology and Pain Medicine"
"0034844737","2720","MEDI","Hematology"
"15844368449","2700","MEDI","Medicine (all)"
"0034649696","2700","MEDI","Medicine (all)"
"0023911111","1000","MULT","Multidisciplinary"
"0034775122","2720","MEDI","Hematology"
"0034765991","2403","IMMU","Immunology"
"0031790767","2403","IMMU","Immunology"
"0025652892","1306","BIOC","Cancer Research"
"0025652892","2720","MEDI","Hematology"
"0025652892","2730","MEDI","Oncology"
"0024566393","2720","MEDI","Hematology"
"0031027623","2720","MEDI","Hematology"
"0034062199","1306","BIOC","Cancer Research"
"0034062199","2730","MEDI","Oncology"
"0037092951","1303","BIOC","Biochemistry"
"0037092951","1307","BIOC","Cell Biology"
"0037092951","2403","IMMU","Immunology"
"0037092951","2720","MEDI","Hematology"
"0029981025","2720","MEDI","Hematology"
"0036335916","1306","BIOC","Cancer Research"
"0036335916","2720","MEDI","Hematology"
"0036335916","2730","MEDI","Oncology"
"0034501632","1306","BIOC","Cancer Research"
"0032715454","2720","MEDI","Hematology"
"0032715454","2747","MEDI","Transplantation"
"0033002175","2720","MEDI","Hematology"
"0002299891","1312","BIOC","Molecular Biology"
"0020591822","2720","MEDI","Hematology"
"0027194472","1303","BIOC","Biochemistry"
"0028964750","1303","BIOC","Biochemistry"
"0027283918","1312","BIOC","Molecular Biology"
"0027283918","2403","IMMU","Immunology"
"0029912735","2720","MEDI","Hematology"
"0027462047","2403","IMMU","Immunology"
"0027462047","2743","MEDI","Reproductive Medicine"
"0030089901","1307","BIOC","Cell Biology"
"0030089901","1309","BIOC","Developmental Biology"
"0030089901","1311","BIOC","Genetics"
"0030089901","2710","MEDI","Embryology"
"0030089901","2729","MEDI","Obstetrics and Gynecology"
"17644442155","2720","MEDI","Hematology"
"17644442155","2747","MEDI","Transplantation"
"0027240401","2720","MEDI","Hematology"
"0023836757","2403","IMMU","Immunology"
"0023836757","2747","MEDI","Transplantation"
"0028633387","2403","IMMU","Immunology"
"0034090521","2403","IMMU","Immunology"
"0034090521","2723","MEDI","Immunology and Allergy"
"0034090521","3004","PHAR","Pharmacology"
"0023946601","1303","BIOC","Biochemistry"
"0023946601","1307","BIOC","Cell Biology"
"0023946601","2403","IMMU","Immunology"
"0023946601","2700","MEDI","Medicine (all)"
"0023946601","2720","MEDI","Hematology"
"9444232751","2720","MEDI","Hematology"
"9444232751","2747","MEDI","Transplantation"
"0029915469","2720","MEDI","Hematology"
"0032522959","2720","MEDI","Hematology"
"0033214901","2720","MEDI","Hematology"
"0033610681","2403","IMMU","Immunology"
"0033610681","2747","MEDI","Transplantation"
"0028208561","2720","MEDI","Hematology"
"0028208561","2747","MEDI","Transplantation"
"0027991085","2403","IMMU","Immunology"
"0027991085","2720","MEDI","Hematology"
"0029928384","2720","MEDI","Hematology"
"0029928384","2747","MEDI","Transplantation"
"0034765992","2403","IMMU","Immunology"
"0021227678","2700","MEDI","Medicine (all)"
"0034754525","2403","IMMU","Immunology"
"0022453667","2700","MEDI","Medicine (all)"
"0022453667","2747","MEDI","Transplantation"
"0020835433","1312","BIOC","Molecular Biology"
"0020835433","2716","MEDI","Genetics (clinical)"
"0023615397","1305","BIOC","Biotechnology"
"0023615397","2403","IMMU","Immunology"
"9444257631","2720","MEDI","Hematology"
"0033214208","2720","MEDI","Hematology"
"0028290250","2720","MEDI","Hematology"
"0028290250","2747","MEDI","Transplantation"
"0028863238","2720","MEDI","Hematology"
"0022965430","2720","MEDI","Hematology"
"0022965430","2747","MEDI","Transplantation"
"0025100777","2720","MEDI","Hematology"
"0034235910","2720","MEDI","Hematology"
"0029948935","2720","MEDI","Hematology"
"0029948935","2747","MEDI","Transplantation"
"0034790089","2720","MEDI","Hematology"
