drug,pmid,,,,,,unique_pmid
ramucirumab,25260318,,,,,,25197781
ramucirumab,25197781,,,,,,25167943
ramucirumab,25167943,,,,,,25142842
ramucirumab,25142842,,,,,,25047778
ramucirumab,25047778,,,,,,25018016
ramucirumab,25018016,,,,,,24993497
ramucirumab,24993497,,,,,,24970311
ramucirumab,24970311,,,,,,24953238
ramucirumab,24953238,,,,,,24916147
ramucirumab,24916147,,,,,,24881691
ramucirumab,24881691,,,,,,24858418
ramucirumab,24858418,,,,,,24810646
ramucirumab,24810646,,,,,,24806575
ramucirumab,24806575,,,,,,26674336
ramucirumab,26674336,,,,,,24665840
ramucirumab,24665840,,,,,,
