auth_sid,full_name,last_name,first_name,last_first_initial,doc_count_test,doc_count_total,auth_rrbr,auth_pir
7003876312,mannino raphael j.,mannino,raphael j,mannino r,1,11,0.0909090909090909,2
7003876611,seremetis stephanie v.,seremetis,stephanie v,seremetis s,1,34,0.0294117647058824,2
7003876998,brix f.,brix,f,brix f,1,1,1,5
7003878750,tough david f.,tough,david f,tough d,1,95,0.0105263157894737,3
7003879057,scheinberg labe c.,scheinberg,labe c,scheinberg l,1,2,0.5,77
7003881248,unterhalt michael,unterhalt,michael,unterhalt m,3,96,0.03125,3
7003882303,sackstein robert d.,sackstein,robert d,sackstein r,1,92,0.0108695652173913,9
7003883427,schwarer anthony p.,schwarer,anthony p,schwarer a,6,92,0.0652173913043478,112
7003883496,gasperi-campani anna,gasperi-campani,anna,gasperi-campani a,1,16,0.0625,2
7003883958,vellodi ashok,vellodi,ashok,vellodi a,5,78,0.0641025641025641,92
7003884025,kimby eva k.,kimby,eva k,kimby e,3,131,0.0229007633587786,29
7003885305,labotka richard j.,labotka,richard j,labotka r,1,17,0.0588235294117647,4
7003885737,brattström christina,brattström,christina,brattström c,1,33,0.0303030303030303,3
7003887037,correale jorge d.,correale,jorge d,correale j,1,122,0.00819672131147541,2
7003887617,glatting gerhard,glatting,gerhard,glatting g,1,131,0.00763358778625954,1
7003888267,kurtzman gary j.,kurtzman,gary j,kurtzman g,1,25,0.04,1
7003889124,ebell wolfram,ebell,wolfram,ebell w,3,71,0.0422535211267606,60
7003889560,lischka gerd g.,lischka,gerd g,lischka g,1,15,0.0666666666666667,1
7003891382,gaspar hubert bobby,gaspar,hubert bobby,gaspar h,2,142,0.0140845070422535,2
7003892085,orsini enrica c.,orsini,enrica c,orsini e,1,17,0.0588235294117647,3
7003895171,lush richard john,lush,richard john,lush r,1,14,0.0714285714285714,0
7003896078,toogood ian r g,toogood,ian r g,toogood i,1,20,0.05,2
7003896179,bleiberg ilan,bleiberg,ilan,bleiberg i,1,9,0.111111111111111,5
7003896831,tochner zelig a.,tochner,zelig a,tochner z,1,49,0.0204081632653061,213
7003899633,daras michael d.,daras,michael d,daras m,1,17,0.0588235294117647,2
7003901011,czech jörg,czech,jörg,czech j,1,20,0.05,2
7003902653,kingma douglas william,kingma,douglas william,kingma d,3,51,0.0588235294117647,26
7003903577,harnish delsworth g.,harnish,delsworth g,harnish d,1,5,0.2,97
7003903837,mcdonell michael w.,mcdonell,michael w,mcdonell m,1,4,0.25,11
7003904170,janka- schaub gritta e.,janka- schaub,gritta e,janka- schaub g,1,103,0.00970873786407767,3
7003906333,mogilner benjamin m.,mogilner,benjamin m,mogilner b,1,8,0.125,1
7003906675,packman charles h.,packman,charles h,packman c,1,15,0.0666666666666667,4
7003908476,banerji julian,banerji,julian,banerji j,1,1,1,11
7003909140,mausner leonard f.,mausner,leonard f,mausner l,1,37,0.027027027027027,2
7003909787,bartles james r.,bartles,james r,bartles j,1,29,0.0344827586206897,2
7003912579,haddy theresa brey,haddy,theresa brey,haddy t,1,17,0.0588235294117647,3
7003913319,sawitsky arthur,sawitsky,arthur,sawitsky a,5,2,2.5,238
7003917444,holler phillip d.,holler,phillip d,holler p,1,22,0.0454545454545455,1
7003917483,schoenberger stephen p.,schoenberger,stephen p,schoenberger s,1,110,0.00909090909090909,1
7003917692,laczika klaus felix,laczika,klaus felix,laczika k,1,59,0.0169491525423729,57
7003918373,malloy beth e.,malloy,beth e,malloy b,1,1,1,1
7003918552,driss franc¸oise,driss,franc¸oise,driss f,1,20,0.05,4
7003918980,delcher arthur l.,delcher,arthur l,delcher a,1,58,0.0172413793103448,1
7003919112,michnick stephen w.,michnick,stephen w,michnick s,1,106,0.00943396226415094,1
7003919891,standring david n.,standring,david n,standring d,1,28,0.0357142857142857,2
7003920413,stiefel michael f.,stiefel,michael f,stiefel m,1,87,0.0114942528735632,11
7003920427,coupar barbara e h,coupar,barbara e h,coupar b,1,32,0.03125,5
7003921209,worley kim c.,worley,kim c,worley k,1,82,0.0121951219512195,1
7003922873,moskophidis demetrius,moskophidis,demetrius,moskophidis d,1,30,0.0333333333333333,18
7003923263,secher david s.,secher,david s,secher d,1,1,1,57
7003926509,ready andrew r.,ready,andrew r,ready a,1,47,0.0212765957446809,5
7003927259,bodmer mark w.,bodmer,mark w,bodmer m,1,5,0.2,6
7003928027,khorana alok a.,khorana,alok a,khorana a,1,136,0.00735294117647059,2
7003928520,cicciarelli james c.,cicciarelli,james c,cicciarelli j,1,21,0.0476190476190476,11
7003929075,coughlan robert j.,coughlan,robert j,coughlan r,1,36,0.0277777777777778,36
7003930276,lowdell mark w.,lowdell,mark w,lowdell m,5,110,0.0454545454545455,55
7003932255,figuera alvarez a.,figuera alvarez,a,figuera alvarez a,2,33,0.0606060606060606,11
7003932452,tisdale ellen j.,tisdale,ellen j,tisdale e,1,19,0.0526315789473684,9
7003932577,duque ricardo e.,duque,ricardo e,duque r,1,5,0.2,3
7003934348,romine john s.,romine,john s,romine j,3,13,0.230769230769231,6
7003934358,garbarino giovanni,garbarino,giovanni,garbarino g,1,62,0.0161290322580645,1
