20301287,pmid1
16160950,pmid1
12171730,pmid1
12171729,pmid1
12171727,pmid1
12171726,pmid1
12171725,pmid1
12171723,pmid1
12171722,pmid1
12171721,pmid1
12171720,pmid1
12171714,pmid1
12113137,pmid1
12113127,pmid1
12042050,pmid1
11962789,pmid1
11911422,pmid1
11899778,pmid1
11899633,pmid1
11879313,pmid1
11847424,pmid1
11778765,pmid1
11760553,pmid1
11722986,pmid1
11722982,pmid1
11585011,pmid1
11583062,pmid1
11527007,pmid1
11510560,pmid1
11477365,pmid1
11461662,pmid1
11449871,pmid1
11449628,pmid1
11441256,pmid1
11438820,pmid1
11420384,pmid1
11418459,pmid1
11377483,pmid1
11375079,pmid1
11360116,pmid1
11342359,pmid1
11298593,pmid1
11296131,pmid1
11277178,pmid1
11268323,pmid1
11257744,pmid1
11249458,pmid1
11219009,pmid1
11160771,pmid1
11158184,pmid1
11149212,pmid1
11147488,pmid1
11128816,pmid1
11122838,pmid1
11085457,pmid1
11045999,pmid1
11040273,pmid1
11037855,pmid1
11035276,pmid1
11022631,pmid1
11013436,pmid1
11001893,pmid1
10960874,pmid1
10950363,pmid1
10918407,pmid1
10907481,pmid1
10894353,pmid1
10891435,pmid1
10889906,pmid1
10877047,pmid1
10845940,pmid1
10848438,pmid1
10798754,pmid1
10798751,pmid1
10792280,pmid1
10773997,pmid1
10761013,pmid1
10752996,pmid1
10744652,pmid1
10723585,pmid1
10713664,pmid1
21337085,pmid1
10611109,pmid1
10589966,pmid1
10573085,pmid1
10568572,pmid1
10565991,pmid1
10561025,pmid1
10561018,pmid1
10528911,pmid1
10524207,pmid1
10520035,pmid1
10498590,pmid1
10498594,pmid1
10489036,pmid1
10482259,pmid1
10477459,pmid1
10444204,pmid1
10417050,pmid1
10417047,pmid1
10390197,pmid1
10366506,pmid1
10350345,pmid1
10335520,pmid1
10329437,pmid1
10211898,pmid1
10092828,pmid1
10071037,pmid1
10050661,pmid1
9866817,pmid1
9845524,pmid1
9838682,pmid1
9834254,pmid1
9824507,pmid1
9811544,pmid1
9809379,pmid1
9779699,pmid1
9777606,pmid1
9747629,pmid1
