1356177,fda
8704678,fda
8611450,fda
9193354,fda
9215839,fda
17984186,fda
17984184,fda
8652811,fda
7441755,patent
7300683,patent
7032624,patent
7017722,patent
6817141,patent
6811139,patent
6775818,patent
6438633,patent
6438435,patent
6401310,patent
6390085,patent
6349718,patent
6344750,patent
6286831,patent
6276389,patent
6198242,patent
4851220,patent
4093982,patent
3980990,patent
3916080,patent
3890929,patent
3713831,patent
3681981,patent
3655386,patent
3614380,patent
3584980,patent
3529531,patent
3500259,patent
3500064,patent
3121901,patent
3106970,patent
3081877,patent
3016742,patent
2989795,patent
2580239,patent
618887,patent
271968,patent
12171729,ct
12171727,ct
12171726,ct
12171723,ct
12171714,ct
11342359,ct
11001893,ct
10773997,ct
10589966,ct
10568572,ct
10482259,ct
10417050,ct
10390197,ct
10350345,ct
9845524,ct
9779699,ct
9502298,ct
9235735,ct
9215839,ct
9195505,ct
9250818,ct
9193354,ct
9049965,ct
8707338,ct
8611450,ct
8722340,ct
8671618,ct
7488279,ct
7575719,ct
7575711,ct
7632956,ct
7655382,ct
7531440,ct
7920312,ct
7922004,ct
8324942,ct
1391938,ct
1356177,ct
2667209,ct
2480280,ct
