eid_set_B_citing	eid_set_C_cited	cited_is_in_B	cited_is_in_A
1444358	16713286	1	0
1444358	23154229	1	0
1444358	25022365	1	0
1444358	25647885	1	0
1444358	26019181	1	0
1444358	26748870	1	1
1444358	26768730	1	0
1444358	28069744	1	0
1506297	1339532	1	0
1506297	25826967	1	0
1506297	26117004	1	1
1506297	26319199	1	0
1506297	28103275	1	1
1506297	31059866	1	0
1506297	3543012707	1	1
1584956	21678703	1	0
1584956	23806075	1	0
1584956	24433697	1	0
1584956	25942245	1	0
1584956	26483786	1	0
1584956	26535589	1	0
1584956	26643141	1	0
1584956	26705903	1	0
1584956	26752591	1	0
1584956	27207287	1	0
1584956	28014460	1	0
1584956	28180585	1	0
1584956	28209548	1	0
1584956	28216232	1	0
1584956	28245832	1	0
1584956	28351583	1	0
1584956	28928422	1	0
1584956	28956337	1	0
1584956	30002904	1	0
1633495	3752712	1	0
1633495	4252445	1	0
1633495	6582115	1	0
1633495	23028190	1	0
1633495	24756969	1	0
1633495	27462365	1	0
1633495	28202481	1	0
1633495	29417004	1	1
1633495	29986131	1	0
1633495	30002637	1	0
1633495	30063325	1	0
1633495	30593031	1	0
1633495	12644274812	1	1
1633495	15844388931	1	0
1633495	15844389650	1	1
1633495	16044373004	1	0
1685166	2501337	1	0
1916344	3448569	1	0
1916344	15795234	1	0
1916344	19423594	1	0
1916344	21331061	1	1
2023426	2244576	1	0
2023426	23619941	1	0
2023426	24533173	1	0
2023426	25230509	1	0
2023426	25641098	1	0
2023426	25895193	1	0
2023426	25964022	1	0
2023426	25995226	1	0
2023426	25997534	1	0
2023426	26013537	1	0
2023426	26049102	1	0
2023426	26355413	1	0
2023426	26355917	1	0
2023426	26513211	1	0
2023426	26526896	1	0
2023426	26694267	1	0
2023426	27030103	1	0
2023426	27050785	1	0
2023426	27207873	1	0
2023426	27257103	1	0
2023426	27389224	1	0
2023426	27515289	1	0
2023426	27519832	1	0
2023426	27717752	1	0
2023426	27724599	1	0
2023426	27741335	1	0
2023426	27930472	1	0
2023426	27994031	1	0
2023426	27996297	1	0
2023426	27997899	1	0
2023426	28004639	1	0
2023426	28007891	1	0
