pmid,sid,cited_sid,cited_pmid,comments
18305062,4034911506,26783632,1356177,approval_summary
18305062,4034911506,29928384,8704678,approval_summary
18305062,4034911506,29937765,8611450,approval_summary
18305062,4034911506,30897222,9193354,approval_summary
18305062,4034911506,30812012,9215839,approval_summary
18305062,4034911506,37649004407,17984186,approval_summary
18305062,4034911506,37649012732,17984184,approval_summary
,,,8652811,scraped
