"source","stype","target","ttype"
"alemtuzumab","root","9402750","pmid1"
"alemtuzumab","root","9760161","pmid1"
"alemtuzumab","root","9779699","pmid1"
"alemtuzumab","root","9779698","pmid1"
"alemtuzumab","root","9779701","pmid1"
"alemtuzumab","root","9824507","pmid1"
"alemtuzumab","root","9708202","pmid1"
"alemtuzumab","root","9685176","pmid1"
"alemtuzumab","root","9685175","pmid1"
"alemtuzumab","root","9704734","pmid1"
"alemtuzumab","root","9578307","pmid1"
"alemtuzumab","root","9482530","pmid1"
"alemtuzumab","root","9482531","pmid1"
"alemtuzumab","root","9593475","pmid1"
"alemtuzumab","root","9446633","pmid1"
"alemtuzumab","root","9516160","pmid1"
"alemtuzumab","root","9721431","pmid1"
"alemtuzumab","root","9691083","pmid1"
"alemtuzumab","root","9746768","pmid1"
"alemtuzumab","root","9758577","pmid1"
"alemtuzumab","root","9694951","pmid1"
"alemtuzumab","root","9834254","pmid1"
"alemtuzumab","root","10235069","pmid1"
"alemtuzumab","root","9734890","pmid1"
"alemtuzumab","root","9531622","pmid1"
"alemtuzumab","root","9573030","pmid1"
"alemtuzumab","root","9603161","pmid1"
"alemtuzumab","root","9694704","pmid1"
"alemtuzumab","root","9694706","pmid1"
"alemtuzumab","root","9845514","pmid1"
"alemtuzumab","root","9845524","pmid1"
"alemtuzumab","root","9808489","pmid1"
"alemtuzumab","root","10561018","pmid1"
"alemtuzumab","root","10561025","pmid1"
"alemtuzumab","root","10541378","pmid1"
"alemtuzumab","root","10551552","pmid1"
"alemtuzumab","root","10556958","pmid1"
"alemtuzumab","root","10561021","pmid1"
"alemtuzumab","root","10589082","pmid1"
"alemtuzumab","root","10561026","pmid1"
"alemtuzumab","root","10577851","pmid1"
"alemtuzumab","root","10430977","pmid1"
"alemtuzumab","root","10442187","pmid1"
"alemtuzumab","root","10515887","pmid1"
"alemtuzumab","root","10482936","pmid1"
"alemtuzumab","root","10439375","pmid1"
"alemtuzumab","root","10512062","pmid1"
"alemtuzumab","root","10190945","pmid1"
"alemtuzumab","root","10482259","pmid1"
"alemtuzumab","root","10516680","pmid1"
"alemtuzumab","root","10543369","pmid1"
"alemtuzumab","root","10458259","pmid1"
"alemtuzumab","root","10408631","pmid1"
"alemtuzumab","root","10371508","pmid1"
"alemtuzumab","root","10371494","pmid1"
"alemtuzumab","root","10354146","pmid1"
"alemtuzumab","root","10188761","pmid1"
"alemtuzumab","root","10561225","pmid1"
"alemtuzumab","root","9973447","pmid1"
"alemtuzumab","root","10528911","pmid1"
"alemtuzumab","root","10498591","pmid1"
"alemtuzumab","root","10498594","pmid1"
"alemtuzumab","root","10498590","pmid1"
"alemtuzumab","root","10613450","pmid1"
"alemtuzumab","root","10855789","pmid1"
"alemtuzumab","root","10352162","pmid1"
"alemtuzumab","root","10352169","pmid1"
