"","source","stype","target","ttype"
"140","alemtuzumab","root","11722986","pmid1"
"141","alemtuzumab","root","11722982","pmid1"
"142","alemtuzumab","root","11585011","pmid1"
"143","alemtuzumab","root","11583062","pmid1"
"144","alemtuzumab","root","11527007","pmid1"
"145","alemtuzumab","root","11510560","pmid1"
"146","alemtuzumab","root","11477365","pmid1"
"147","alemtuzumab","root","11461662","pmid1"
"148","alemtuzumab","root","11449871","pmid1"
"149","alemtuzumab","root","11449628","pmid1"
"150","alemtuzumab","root","11441256","pmid1"
"151","alemtuzumab","root","11438820","pmid1"
"152","alemtuzumab","root","11420384","pmid1"
"153","alemtuzumab","root","11418459","pmid1"
"154","alemtuzumab","root","11377483","pmid1"
"155","alemtuzumab","root","11375079","pmid1"
"156","alemtuzumab","root","11360116","pmid1"
"157","alemtuzumab","root","11342359","pmid1"
"158","alemtuzumab","root","11298593","pmid1"
"159","alemtuzumab","root","11296131","pmid1"
"160","alemtuzumab","root","11277178","pmid1"
"161","alemtuzumab","root","11268323","pmid1"
"162","alemtuzumab","root","11257744","pmid1"
"163","alemtuzumab","root","11249458","pmid1"
"164","alemtuzumab","root","11219009","pmid1"
"165","alemtuzumab","root","11160771","pmid1"
"166","alemtuzumab","root","11158184","pmid1"
"167","alemtuzumab","root","11149212","pmid1"
"168","alemtuzumab","root","11147488","pmid1"
"169","alemtuzumab","root","11128816","pmid1"
"170","alemtuzumab","root","11122838","pmid1"
"171","alemtuzumab","root","11085457","pmid1"
"172","alemtuzumab","root","11045999","pmid1"
"173","alemtuzumab","root","11040273","pmid1"
"174","alemtuzumab","root","11037855","pmid1"
"175","alemtuzumab","root","11035276","pmid1"
"176","alemtuzumab","root","11022631","pmid1"
"177","alemtuzumab","root","11013436","pmid1"
"178","alemtuzumab","root","11001893","pmid1"
"179","alemtuzumab","root","10960874","pmid1"
"180","alemtuzumab","root","10950363","pmid1"
"181","alemtuzumab","root","10918407","pmid1"
"182","alemtuzumab","root","10907481","pmid1"
"183","alemtuzumab","root","10894353","pmid1"
"184","alemtuzumab","root","10891435","pmid1"
"185","alemtuzumab","root","10889906","pmid1"
"186","alemtuzumab","root","10877047","pmid1"
"187","alemtuzumab","root","10845940","pmid1"
"188","alemtuzumab","root","10848438","pmid1"
"189","alemtuzumab","root","10798754","pmid1"
"190","alemtuzumab","root","10798751","pmid1"
"191","alemtuzumab","root","10792280","pmid1"
"192","alemtuzumab","root","10773997","pmid1"
"193","alemtuzumab","root","10761013","pmid1"
"194","alemtuzumab","root","10752996","pmid1"
"195","alemtuzumab","root","10744652","pmid1"
"196","alemtuzumab","root","10723585","pmid1"
"197","alemtuzumab","root","10713664","pmid1"
"198","alemtuzumab","root","21337085","pmid1"
"199","alemtuzumab","root","10611109","pmid1"
"200","alemtuzumab","root","10589966","pmid1"
"201","alemtuzumab","root","10573085","pmid1"
"202","alemtuzumab","root","10568572","pmid1"
"203","alemtuzumab","root","10565991","pmid1"
"204","alemtuzumab","root","10561025","pmid1"
"205","alemtuzumab","root","10561018","pmid1"
"206","alemtuzumab","root","10528911","pmid1"
"207","alemtuzumab","root","10524207","pmid1"
"208","alemtuzumab","root","10520035","pmid1"
"209","alemtuzumab","root","10498590","pmid1"
"210","alemtuzumab","root","10498594","pmid1"
"211","alemtuzumab","root","10489036","pmid1"
"212","alemtuzumab","root","10482259","pmid1"
"213","alemtuzumab","root","10477459","pmid1"
"214","alemtuzumab","root","10444204","pmid1"
"215","alemtuzumab","root","10417050","pmid1"
"216","alemtuzumab","root","10417047","pmid1"
"217","alemtuzumab","root","10390197","pmid1"
"218","alemtuzumab","root","10366506","pmid1"
"219","alemtuzumab","root","10350345","pmid1"
"220","alemtuzumab","root","10335520","pmid1"
"221","alemtuzumab","root","10329437","pmid1"
"222","alemtuzumab","root","10211898","pmid1"
"223","alemtuzumab","root","10092828","pmid1"
"224","alemtuzumab","root","10071037","pmid1"
"225","alemtuzumab","root","10050661","pmid1"
"226","alemtuzumab","root","9866817","pmid1"
